"From: J. Opt. Soc. Am., Vol. 68, No. 6, June 1978 AND Opt. Mat. Express 2, 1588-1611 (2012)",
wl (um),n
0.5,1.331403082
0.511,1.330918215
0.522,1.330462577
0.533,1.330033617
0.544,1.329629051
0.555,1.329246831
0.566,1.328885118
0.577,1.328542253
0.588,1.328216742
0.599,1.32790723
0.61,1.32761249
0.621,1.327331406
0.632,1.327062966
0.643,1.326806242
0.654,1.326560392
0.665,1.326324641
0.676,1.326098282
0.687,1.325880666
0.698,1.325671194
0.709,1.325469317
0.72,1.32527453
0.731,1.325086363
0.742,1.324904386
0.753,1.324728199
0.764,1.324557432
0.775,1.324391741
0.786,1.324230808
0.797,1.324074337
0.808,1.323922052
0.819,1.323773696
0.83,1.323629031
0.841,1.323487833
0.852,1.323349893
0.863,1.323215017
0.874,1.323083022
0.885,1.322953737
0.896,1.322827003
0.907,1.322702669
0.918,1.322580594
0.929,1.322460647
0.94,1.322342702
0.951,1.322226642
0.962,1.322112358
0.973,1.321999745
0.984,1.321888706
0.995,1.321779148
1.006,1.321670984
1.017,1.321564132
1.028,1.321458514
1.039,1.321354057
1.05,1.321250692
1.061,1.321148352
1.072,1.321046975
1.083,1.320946502
1.094,1.320846877
1.105,1.320748048
1.116,1.320649963
1.127,1.320552576
1.138,1.32045584
1.149,1.320359714
1.16,1.320264155
1.171,1.320169125
1.182,1.320074587
1.193,1.319980506
1.204,1.319886848
1.215,1.319793581
1.226,1.319700676
1.237,1.319608103
1.248,1.319515834
1.259,1.319423844
1.27,1.319332107
1.281,1.3192406
1.292,1.3191493
1.303,1.319058184
1.314,1.318967233
1.325,1.318876427
1.336,1.318785746
1.347,1.318695173
1.358,1.318604691
1.369,1.318514283
1.38,1.318423933
1.391,1.318333627
1.402,1.318243349
1.413,1.318153088
1.424,1.318062829
1.435,1.317972559
1.446,1.317882268
1.457,1.317791943
1.468,1.317701575
1.479,1.317611151
1.49,1.317520663
1.501,1.317430101
1.512,1.317339456
1.523,1.317248719
1.534,1.317157882
1.545,1.317066936
1.556,1.316975876
1.567,1.316884692
1.578,1.316793379
1.589,1.31670193
1.6,1.316610338
2.524814962,1.303269633
2.555071794,1.302058865
2.60355382,1.302176036
2.661335828,1.29973776
2.710183849,1.298560469
2.760820305,1.29866927
2.813464443,1.296205886
2.868196585,1.29245641
2.925014525,1.291279118
2.988816847,1.288824104
3.065310046,1.283813642
3.1614031,1.277542196
3.241632528,1.272523364
3.320512607,1.262351792
3.397308312,1.252171851
3.452736663,1.241958432
3.516615259,1.227895104
3.556305609,1.215084391
3.590179664,1.202265309
3.604497754,1.18556284
3.632750188,1.166304924
3.654349231,1.149610824
3.676206651,1.132916725
3.719533961,1.121392105
3.762685746,1.131731064
3.791605051,1.145911564
3.805831964,1.160075324
3.827631129,1.17681964
3.842130198,1.190983401
3.871987314,1.210308272
3.886521593,1.229616404
3.909104194,1.248932906
3.932028398,1.266963314
3.946939567,1.287557539
3.962043086,1.306865672
3.977342077,1.324887711
4.000754501,1.348062491
4.016192499,1.368656716
4.023631045,1.384098201
4.048169204,1.398270331
4.064390744,1.412434091
4.089262165,1.429178407
4.123356754,1.444644999
4.167044485,1.460119961
4.184322652,1.472997629
4.229229052,1.489758683
4.277405466,1.474367415
4.297281485,1.464095411
4.346935014,1.449990236
4.408426003,1.428176873
4.492091062,1.412810713
4.567685078,1.402580555
4.63498147,1.388483749
4.762379263,1.377000976
4.884526496,1.365509834
5.026094467,1.355313154
5.203887273,1.347705398
5.379757284,1.33880318
5.56793046,1.329900962
5.752300439,1.322276468
5.949120868,1.315938067
6.139061868,1.317307853
6.300534346,1.314802622
6.492812532,1.311019668
6.67392802,1.307228344
6.888632651,1.311161947
7.119392076,1.3060929
7.36723763,1.295879481
7.57393274,1.280504952
7.698271567,1.2676775
7.826453391,1.256136142
7.893879133,1.243291951
7.994335162,1.235600502
8.091458652,1.251058725
8.121377723,1.267786302
8.181548434,1.302527549
8.185920536,1.285808341
8.213154795,1.315396848
8.244664946,1.329552239
8.312231003,1.343715999
8.382324742,1.352735388
8.535621247,1.337335751
8.615882356,1.324491561
8.897941149,1.315547496
9.244215434,1.304039615
9.615745733,1.300248291
9.968408114,1.291304227
10.40342476,1.283654624
10.93769071,1.281157763
11.3949925,1.274785884
11.67878693,1.261958432
11.97707832,1.249130981